category_id,name,instances,AP,AP50,AR100
1,yoke,318,0.8899018161143575,0.9628764201285765,0.9547169811320755
2,yoke suspension,1250,0.8577642567220898,0.9874102602883814,0.8942399999999999
3,spacer,22,0.3975422524392414,0.9595709570957097,0.6136363636363636
4,stockbridge damper,1254,0.8644412779165657,0.9777403814098131,0.9062200956937799
5,lightning rod shackle,25,0.6102231880415118,0.7853106751203126,0.804
6,lightning rod suspension,92,0.9293574090412509,1.0,0.951086956521739
7,polymer insulator,855,0.9671740564324485,0.9895262563036502,0.9865497076023392
8,glass insulator,963,0.9288340928097292,0.9719923083240669,0.9694704049844237
9,tower id plate,44,0.9965346534653465,1.0,0.9977272727272727
10,vari-grip,162,0.9654397687994571,0.9982963925649293,0.9783950617283951
11,polymer insulator lower shackle,382,0.6233871173650434,0.8936418204350394,0.7217277486910995
12,polymer insulator upper shackle,377,0.8641374316031452,0.9853456817989209,0.9132625994694961
13,polymer insulator tower shackle,10,0.531016111202146,0.9834983498349833,0.76
14,glass insulator big shackle,149,0.377014323346048,0.5290719334245185,0.7100671140939597
15,glass insulator small shackle,135,0.3973322326857661,0.6730766991067352,0.7051851851851852
16,glass insulator tower shackle,97,0.46764818076983367,0.6777129203190321,0.7010309278350515
17,spiral damper,189,0.9660038034627105,0.999586338728053,0.9777777777777779
18,sphere,0,,,
