epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/AP/glass insulator,val/AP/glass insulator big shackle,val/AP/glass insulator small shackle,val/AP/glass insulator tower shackle,val/AP/lightning rod shackle,val/AP/lightning rod suspension,val/AP/polymer insulator,val/AP/polymer insulator lower shackle,val/AP/polymer insulator tower shackle,val/AP/polymer insulator upper shackle,val/AP/spacer,val/AP/spiral damper,val/AP/stockbridge damper,val/AP/tower id plate,val/AP/vari-grip,val/AP/yoke,val/AP/yoke suspension,val/F1,val/ema_AP/glass insulator,val/ema_AP/glass insulator big shackle,val/ema_AP/glass insulator small shackle,val/ema_AP/glass insulator tower shackle,val/ema_AP/lightning rod shackle,val/ema_AP/lightning rod suspension,val/ema_AP/polymer insulator,val/ema_AP/polymer insulator lower shackle,val/ema_AP/polymer insulator tower shackle,val/ema_AP/polymer insulator upper shackle,val/ema_AP/spacer,val/ema_AP/spiral damper,val/ema_AP/stockbridge damper,val/ema_AP/tower id plate,val/ema_AP/vari-grip,val/ema_AP/yoke,val/ema_AP/yoke suspension,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
1,987,,,,,,,,,,,,,,,,0.9007257223129272,0.12597137689590454,0.12317279726266861,0.13962699472904205,0.45047202706336975,0.9169045686721802,0.961961030960083,0.5712919235229492,0.004839615430682898,0.8410544395446777,0.17410694062709808,0.9443471431732178,0.8617609739303589,0.9908732771873474,0.9582231044769287,0.8901758193969727,0.8452709913253784,0.7427958250045776,0.9236321449279785,0.1414143443107605,0.18503855168819427,0.18774108588695526,0.5314906239509583,0.9291028380393982,0.964733898639679,0.5858084559440613,0.009679230861365795,0.8467492461204529,0.19714699685573578,0.9478150606155396,0.8656526803970337,0.9920791983604431,0.9613767266273499,0.896133542060852,0.8507896661758423,0.7661784887313843,0.6480225920677185,0.684820294380188,0.8438451886177063,0.7661784887313843,0.6480225920677185,0.684820294380188,0.8438451886177063,0.7655665278434753,0.7491071820259094
1,987,32.626136779785156,30.847166061401367,32.5274543762207,29.946863174438477,1.2656091451644897,3.258190870285034,0.019360732287168503,0.08963564783334732,0.3869677186012268,1.4763102531433105,0.08737289905548096,0.33759236335754395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1481,,,,,,,,,,,,,,,,0.9260382652282715,0.1493956595659256,0.2164888083934784,0.26955318450927734,0.5348228216171265,0.928194522857666,0.9668499231338501,0.5935232043266296,0.03218374773859978,0.8520107269287109,0.2519323229789734,0.9503447413444519,0.8670660257339478,0.996039628982544,0.9630689024925232,0.8976730704307556,0.8528451919555664,0.7706038355827332,0.9284443855285645,0.1573769748210907,0.24793905019760132,0.35136526823043823,0.5381549596786499,0.9272862076759338,0.9689659476280212,0.601237952709198,0.054688263684511185,0.8572721481323242,0.3067176342010498,0.9528744220733643,0.8684793710708618,1.0,0.9647610783576965,0.8992125988006592,0.8549006581306458,0.8034403920173645,0.6752750873565674,0.7067590951919556,0.8519462943077087,0.8034403920173645,0.6752750873565674,0.7067590951919556,0.8519462943077087,0.7920799255371094,0.77583909034729
2,1481,32.91915512084961,31.946104049682617,32.81578826904297,31.08641242980957,0.5829665064811707,3.0288097858428955,0.01811319589614868,0.08314727991819382,0.35840365290641785,1.3605046272277832,0.08317655324935913,0.31862330436706543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1975,,,,,,,,,,,,,,,,0.9264423847198486,0.16788414120674133,0.26085713505744934,0.3748410940170288,0.571141242980957,0.930294930934906,0.9698972105979919,0.6063148975372314,0.16931959986686707,0.8626586198806763,0.2968086302280426,0.9558579921722412,0.8682519197463989,0.9984923601150513,0.9674863815307617,0.8997343182563782,0.8570102453231812,0.7885411381721497,0.924440324306488,0.17839132249355316,0.27377521991729736,0.3983169496059418,0.6041275262832642,0.9333036541938782,0.9708284735679626,0.6113919019699097,0.28395092487335205,0.8680450916290283,0.2868996262550354,0.9588415622711182,0.868024468421936,0.9969847202301025,0.9702117443084717,0.9002560377120972,0.8591198325157166,0.8499139547348022,0.6992299556732178,0.7317030429840088,0.8544118404388428,0.8499139547348022,0.6992299556732178,0.7317030429840088,0.8544118404388428,0.796442985534668,0.8238950967788696
3,1975,33.18952560424805,32.532135009765625,33.122596740722656,32.31970977783203,0.47517234086990356,2.8524892330169678,0.01710827834904194,0.07781943678855896,0.3438338339328766,1.2667279243469238,0.0800873339176178,0.3035568296909332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2469,,,,,,,,,,,,,,,,0.9262163639068604,0.19514816999435425,0.2685486078262329,0.41526615619659424,0.6081053018569946,0.9287309050559998,0.9703542590141296,0.6207923889160156,0.3801688551902771,0.8649674654006958,0.3162528872489929,0.959269642829895,0.8692101240158081,0.996579647064209,0.9685611724853516,0.8973515033721924,0.8600638508796692,0.8590717315673828,0.9279923439025879,0.21190500259399414,0.26332199573516846,0.4322153925895691,0.6120830178260803,0.9241581559181213,0.9698800444602966,0.6301929354667664,0.47638678550720215,0.8618897795677185,0.34560614824295044,0.9596976637840271,0.8703957200050354,0.9961746335029602,0.9669106006622314,0.8944469690322876,0.8610078692436218,0.8813788294792175,0.7178979516029358,0.7506250143051147,0.8595410585403442,0.8813788294792175,0.7178979516029358,0.7506250143051147,0.8595410585403442,0.9021701812744141,0.8371465802192688
4,2469,33.353111267089844,32.7531623840332,33.24860763549805,32.57160949707031,0.25647595524787903,2.7817718982696533,0.01690584048628807,0.07778318226337433,0.33184945583343506,1.217976450920105,0.07879156619310379,0.30045875906944275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2963,,,,,,,,,,,,,,,,0.9300206899642944,0.22464534640312195,0.2762596011161804,0.436975359916687,0.5968374013900757,0.93019700050354,0.9696633219718933,0.6356199383735657,0.47703689336776733,0.866202712059021,0.33787909150123596,0.9582778811454773,0.8707143068313599,0.9964265823364258,0.966147780418396,0.8965156078338623,0.8610936403274536,0.8538251519203186,0.9320490956306458,0.23738569021224976,0.28919723629951477,0.44173529744148254,0.5815918445587158,0.9362359046936035,0.96944659948349,0.641046941280365,0.4776870310306549,0.8705156445503235,0.3301520347595215,0.9568580985069275,0.8710328936576843,0.9966785907745361,0.9653849601745605,0.8985843062400818,0.8611794710159302,0.8825668096542358,0.720986008644104,0.7519229650497437,0.8608449101448059,0.8825668096542358,0.720986008644104,0.7519229650497437,0.8608449101448059,0.8934187293052673,0.8408635258674622
5,2963,33.439395904541016,32.71849822998047,33.374114990234375,32.46154022216797,0.15079879760742188,2.740011215209961,0.01629575528204441,0.07452864199876785,0.32784605026245117,1.2120531797409058,0.07718363404273987,0.29581165313720703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
